cust_id,cust_fname,cust_lname,cust_crt_date
CG-12520,Claire,Gute,9/11/2013
CG-12520,Claire,Gute,9/11/2013
DV-13045,Darrin,Van Huff,6/13/2013
SO-20335,Sean,O'Donnell,10/18/2012
SO-20335,Sean,O'Donnell,10/18/2012
BH-11710,Brosina,Hoffman,6/14/2011
BH-11710,Brosina,Hoffman,6/14/2011
BH-11710,Brosina,Hoffman,6/14/2011
BH-11710,Brosina,Hoffman,6/14/2011
BH-11710,Brosina,Hoffman,6/14/2011
BH-11710,Brosina,Hoffman,6/14/2011
BH-11710,Brosina,Hoffman,6/14/2011
AA-10480,Andrew,Allen,4/16/2014
IM-15070,Irene,Maddox,6/12/2013
HP-14815,Harold,Pawlan,11/22/2012
HP-14815,Harold,Pawlan,11/22/2012
PK-19075,Pete,Kriz,11/11/2011
AG-10270,Alejandro,Grove,5/13/2011
ZD-21925,Zuschuss,Donatelli,1/9/2011
ZD-21925,Zuschuss,Donatelli,1/9/2011
ZD-21925,Zuschuss,Donatelli,1/9/2011
KB-16585,Ken,Black,10/12/2013
KB-16585,Ken,Black,10/12/2013
SF-20065,Sandra,Flanagan,7/17/2014
EB-13870,Emily,Burns,9/25/2012
EH-13945,Eric,Hoffmann,1/16/2013
EH-13945,Eric,Hoffmann,1/16/2013
TB-21520,Tracy,Blumstein,9/17/2012
TB-21520,Tracy,Blumstein,9/17/2012
TB-21520,Tracy,Blumstein,9/17/2012
TB-21520,Tracy,Blumstein,9/17/2012
TB-21520,Tracy,Blumstein,9/17/2012
TB-21520,Tracy,Blumstein,9/17/2012
TB-21520,Tracy,Blumstein,9/17/2012
MA-17560,Matt,Abelman,10/20/2014
GH-14485,Gene,Hale,9/12/2013
GH-14485,Gene,Hale,9/12/2013
SN-20710,Steve,Nguyen,12/27/2012
SN-20710,Steve,Nguyen,12/27/2012
SN-20710,Steve,Nguyen,12/27/2012
SN-20710,Steve,Nguyen,12/27/2012
LC-16930,Linda,Cazamias,9/16/2014
RA-19885,Ruben,Ausman,7/18/2013
ES-14080,Erin,Smith,9/20/2014
ON-18715,Odella,Nelson,3/14/2013
ON-18715,Odella,Nelson,3/14/2013
